time,equity,exposure_pct
2013-12-24,20000.0,0.0
2013-12-25,20000.0,0.0
2013-12-26,20000.0,0.0
2013-12-27,20000.0,0.0
2013-12-29,20000.0,0.0
2013-12-30,20000.0,0.0
2013-12-31,20000.0,0.0
2014-01-01,20000.0,0.0
2014-01-02,20000.0,0.0
2014-01-03,20000.0,0.0
2014-01-05,20000.0,0.0
2014-01-06,20000.0,0.0
2014-01-07,20000.0,0.0
2014-01-08,20000.0,0.0
2014-01-09,20000.0,0.0
2014-01-10,20000.0,0.0
2014-01-12,20000.0,0.0
2014-01-13,20000.0,0.0
2014-01-14,20000.0,0.0
2014-01-15,20000.0,0.0
2014-01-16,20000.0,0.0
2014-01-17,20000.0,0.0
2014-01-19,19999.45,0.12562190920500627
2014-01-20,19997.86,0.12548285333061274
2014-01-21,19984.46,0.12430917646021918
2014-01-22,19980.260000000002,0.1239406588605908
2014-01-23,20007.06,0.1262868414899081
2014-01-24,20014.23141778503,0.25347926307073987
2014-01-26,20023.937432465846,0.38170330030270144
2014-01-27,19968.197432465844,0.37824591913879296
2014-01-28,19960.117009507114,0.2523203289279796
2014-01-29,19981.057009507116,0.2538889415806611
2014-01-30,19928.599372482167,0.1252412302430459
2014-01-31,19928.949372482166,0.1252720658891882
2014-02-02,19928.78937248217,0.1252579698635594
2014-02-03,19942.63937248217,0.12647647700874662
2014-02-04,19939.709372482168,0.12621898216393254
2014-02-05,19942.909372482165,0.12650019756601738
2014-02-06,19943.159372482165,0.12652215989634197
2014-02-07,19952.159372482165,0.1273120689268052
2014-02-09,19952.409372482165,0.12733399045099125
2014-02-10,19959.739372482167,0.12797624037448496
2014-02-11,19978.01212349448,0.2588030529567665
2014-02-12,19977.372123494482,0.25875550876975645
2014-02-13,20002.37208529597,0.3906573327485224
2014-02-14,20048.48208529597,0.3934534556005579
2014-02-16,20065.49208529597,0.3944784781859222
2014-02-17,20080.64208529597,0.39538850464831043
2014-02-18,20060.00208529597,0.39414802963068607
2014-02-19,20028.77208529597,0.3922613822052874
2014-02-20,20063.27208529597,0.3943448976003003
2014-02-21,20065.70208529597,0.394491111136759
2014-02-23,20068.13208529597,0.3946372540943079
2014-02-24,20105.00208529597,0.39684603389001133
2014-02-25,20115.95208529597,0.3974989171651807
2014-02-26,20086.13208529597,0.3957176017770621
2014-02-27,20088.23208529597,0.3958433912142537
2014-02-28,20071.582085295973,0.3948446198741513
2014-03-02,20108.902085295973,0.3970787298294893
2014-03-03,20145.92208529597,0.39927864278309455
