time,rolling_profit_factor,rolling_expectancy,rolling_win_rate
2015-04-24,0.9074607071259136,-1.4257267807197982,0.3333333333333333
2015-04-30,0.7767566989057811,-3.6537433646061146,0.3
2015-05-26,0.6821625805365429,-5.5085992054328505,0.26666666666666666
2015-05-26,0.6466261811180958,-6.461080130504368,0.26666666666666666
2015-06-18,0.6312700735119349,-6.905851376419843,0.26666666666666666
2015-06-18,0.6291522927621734,-6.968893967333333,0.26666666666666666
2015-08-10,0.8921956776432047,-1.9210698495301273,0.3
2015-12-04,0.9793104583729456,-0.3609097045895202,0.3
2015-12-04,0.9275300549161555,-1.2641704172714832,0.3
2017-03-16,0.9835128114772606,-0.36053819429137735,0.2
2017-04-25,0.586895294243927,-8.710233055683043,0.2
2017-04-25,0.39238455061956373,-12.84118887253581,0.16666666666666666
2017-04-25,0.21077199864012955,-16.94738438947597,0.13333333333333333
2017-05-17,0.2161437076629598,-16.413717722809313,0.13333333333333333
2017-05-17,0.22098461475073375,-15.955010878708691,0.13333333333333333
2017-05-17,0.21842659563444478,-16.194866189247012,0.13333333333333333
2017-06-15,0.21218085829510547,-16.804803366836516,0.13333333333333333
2017-06-15,0.21439501756700385,-16.58451017471975,0.13333333333333333
2017-07-17,0.23329905770174159,-15.844510174719746,0.16666666666666666
2017-07-17,0.24335557193304785,-14.990507956339544,0.16666666666666666
2017-07-17,0.25393166339610235,-14.16535805628463,0.16666666666666666
2017-09-18,0.4696228970765152,-9.36169138961797,0.2
2017-09-18,0.6757255838322372,-5.358963246854786,0.23333333333333334
2017-10-13,0.6981436692945813,-4.828296580188124,0.23333333333333334
2017-10-13,0.6681448810797129,-5.546465683046749,0.23333333333333334
2017-10-13,0.6484047721128041,-6.055293859408566,0.23333333333333334
2017-12-05,0.6189458163102353,-6.874997698787282,0.23333333333333334
2017-12-18,0.595035655239456,-7.599976545035713,0.23333333333333334
2017-12-20,0.603734110054173,-7.329585774762126,0.23333333333333334
2018-02-06,0.8021382164855488,-3.424338896452907,0.26666666666666666
2018-02-06,0.7983507287837912,-3.489887893467875,0.26666666666666666
2018-02-14,0.6595552200508139,-6.226004241028736,0.23333333333333334
2018-02-14,0.6129753514157964,-7.458479040762641,0.2
2018-04-23,0.5863903954156464,-8.33217584308713,0.2
2018-04-23,0.5792926345554409,-8.579001992361366,0.2
2018-08-24,0.7957019358778946,-3.9757660154808128,0.23333333333333334
2018-12-03,0.9671434802179608,-0.7310907292603842,0.26666666666666666
2021-10-14,0.7006881823405113,-9.137402416037807,0.26666666666666666
2021-11-02,0.3422726274321643,-20.764238524208064,0.23333333333333334
2021-11-02,0.3587999450375916,-19.31005205937855,0.23333333333333334
2021-11-03,0.3629629900794857,-18.96463907465657,0.23333333333333334
2021-11-03,0.3765988443733708,-17.886727125037893,0.23333333333333334
2021-11-22,0.38901421313126,-16.97101823012358,0.23333333333333334
2021-11-22,0.41087476389119926,-15.493174802884603,0.23333333333333334
2021-11-23,0.41008916362317005,-15.543554566280433,0.23333333333333334
2021-12-16,0.4008135569780278,-16.153321526329023,0.23333333333333334
2021-12-16,0.3903421742031075,-16.87652152632902,0.23333333333333334
2021-12-22,0.41211611935614034,-15.41395945152434,0.23333333333333334
2021-12-22,0.4271405564184259,-14.883992784857673,0.26666666666666666
2022-01-06,0.4187237260590182,-15.406259535702116,0.26666666666666666
2022-01-06,0.2625506092003287,-20.515216283614613,0.23333333333333334
2022-01-06,0.13899603812721695,-25.60915848780354,0.2
2022-01-27,0.11508723896342873,-28.00504143402384,0.16666666666666666
2022-01-27,0.07685192069831853,-30.53210810069051,0.13333333333333333
2022-01-27,0.07595743146643705,-30.921592679746784,0.13333333333333333
2022-03-15,0.0929242343872338,-30.35382601308011,0.13333333333333333
2022-03-15,0.10489081266124588,-29.73316641581393,0.16666666666666666
2022-03-15,0.17305247132656504,-25.8451674188883,0.2
2022-03-15,0.229163416936111,-22.910816595669647,0.23333333333333334
2022-04-21,0.227628129521624,-23.11128318949644,0.23333333333333334
2022-07-28,0.1861988564582318,-24.350949856163123,0.23333333333333334
2022-07-28,0.17499610298026178,-24.970229627362286,0.2
2022-07-28,0.33399815223920376,-19.20975125056617,0.23333333333333334
2022-07-28,0.4960083983690515,-13.688306224669635,0.26666666666666666
2022-08-17,0.5104710191544665,-12.918817393161822,0.26666666666666666
2022-08-17,0.5386947075955236,-11.53615735093504,0.26666666666666666
2022-08-18,0.5229725549980958,-12.287963447075077,0.26666666666666666
2022-08-18,0.5303972687069638,-11.92737236826571,0.26666666666666666
2022-09-12,0.512349023097662,-12.822084330292247,0.26666666666666666
2022-09-12,0.49467556698634085,-13.761484330292246,0.26666666666666666
2022-10-03,0.5854653505042869,-10.665830648347564,0.3
2022-10-03,0.6457920435166821,-8.834766336258097,0.3333333333333333
2022-10-10,0.6255967334623482,-9.639946019641222,0.3333333333333333
2022-10-11,0.5939694622112955,-11.01093062772456,0.3333333333333333
2022-12-30,0.8277889227767542,-4.342201911015722,0.36666666666666664
