time,rolling_expectancy,rolling_profit_factor,rolling_win_rate
2015-03-20,1.595519321958558,1.1082040197167018,0.36666666666666664
2015-04-14,1.5605470984703338,1.1055818820750685,0.36666666666666664
2015-04-24,1.4866065526135317,1.1000786363876462,0.36666666666666664
2015-04-24,-1.4257267807197982,0.9074607071259136,0.3333333333333333
2015-04-30,-3.6537433646061146,0.7767566989057811,0.3
2015-05-26,-5.5085992054328505,0.6821625805365429,0.26666666666666666
2015-05-26,-6.461080130504368,0.6466261811180958,0.26666666666666666
2015-06-18,-6.905851376419843,0.6312700735119349,0.26666666666666666
2015-06-18,-6.968893967333333,0.6291522927621734,0.26666666666666666
2015-08-10,-1.9210698495301273,0.8921956776432047,0.3
2015-08-10,2.5577075022179074,1.1520981516681943,0.3333333333333333
2015-09-04,1.8091388727237756,1.1029983708845617,0.3333333333333333
2015-09-09,1.4224633773057562,1.079239653332,0.3333333333333333
2015-09-09,0.7014633773057446,1.0378656159460635,0.3
2015-09-29,1.4542581080608834,1.0818273221974042,0.3
2015-10-28,1.2822070751559838,1.0714547145737865,0.3
2015-10-28,1.1819226056844943,1.0655000149192344,0.3
2015-10-28,1.7824736410581496,1.1021822415048201,0.3
2015-12-04,-0.3609097045895202,0.9793104583729456,0.3
2015-12-04,-1.2641704172714832,0.9275300549161555,0.3
2015-12-04,1.280155014769184,1.0773598382513612,0.3333333333333333
2016-01-14,0.5026442689312307,1.0290117054518373,0.3333333333333333
2016-03-14,10.315285417324528,1.6092809823791117,0.36666666666666664
2016-03-14,14.093305187552858,1.8324328879178982,0.36666666666666664
2016-03-14,17.90875675005642,2.0608587180256,0.4
2016-04-11,17.99778644944883,2.071784982279338,0.4
2016-05-19,18.039706392703923,2.0769698711895153,0.4
2016-06-06,16.138039726037256,1.9290346763683024,0.36666666666666664
2016-06-06,14.208699646075749,1.7704309851332858,0.3333333333333333
2016-06-23,11.376073120625652,1.5807034148464572,0.3
2016-06-23,9.717333968749719,1.485022100289086,0.26666666666666666
2016-06-23,9.843859010686973,1.4944599961980491,0.26666666666666666
2016-07-20,9.427865198657319,1.4638716741435707,0.26666666666666666
2016-08-24,8.644531865323987,1.409545370537793,0.26666666666666666
2016-09-06,8.479460138014446,1.3986075921771197,0.26666666666666666
2016-09-06,8.492317252124813,1.3994534148217517,0.26666666666666666
2016-10-19,9.398798177196335,1.4617810914039706,0.26666666666666666
2016-10-19,9.816628848460061,1.4924186968999453,0.26666666666666666
2016-10-19,9.842335299420439,1.4943456242518436,0.26666666666666666
2016-11-09,4.827964067660528,1.2315770540560877,0.23333333333333334
2016-11-10,0.43860223454470787,1.0201539558201533,0.2
2016-11-10,0.17787246140549204,1.008076551601145,0.2
2016-12-29,3.3166974843914523,1.1570270246080026,0.23333333333333334
2016-12-29,5.6453491304780385,1.2747374619098586,0.26666666666666666
2017-01-26,6.803515728940428,1.3464289556760027,0.3
2017-01-26,7.295103676003056,1.3809969953132937,0.3
2017-01-26,7.748203553080796,1.4144686634620873,0.3
2017-03-03,7.090634242866911,1.3664055572855902,0.3
2017-03-07,4.845699016359611,1.2388511539709923,0.26666666666666666
2017-03-07,2.1890323496929427,1.1044060585397766,0.23333333333333334
2017-03-16,-0.36053819429137735,0.9835128114772606,0.2
2017-03-20,0.42243361098362975,1.0200349762688619,0.2
2017-04-25,-8.710233055683043,0.586895294243927,0.2
2017-04-25,-12.84118887253581,0.39238455061956373,0.16666666666666666
2017-04-25,-16.94738438947597,0.21077199864012955,0.13333333333333333
2017-05-17,-16.413717722809313,0.2161437076629598,0.13333333333333333
2017-05-17,-15.955010878708691,0.22098461475073375,0.13333333333333333
2017-05-17,-16.194866189247012,0.21842659563444478,0.13333333333333333
2017-06-15,-16.804803366836516,0.21218085829510547,0.13333333333333333
