time,equity,exposure_pct
2013-12-24,20000.0,0.0
2013-12-25,20000.0,0.0
2013-12-26,20000.0,0.0
2013-12-27,20000.0,0.0
2013-12-29,20000.0,0.0
2013-12-30,20000.0,0.0
2013-12-31,20000.0,0.0
2014-01-01,20000.0,0.0
2014-01-02,20000.0,0.0
2014-01-03,20000.0,0.0
2014-01-05,20000.0,0.0
2014-01-06,20000.0,0.0
2014-01-07,20000.0,0.0
2014-01-08,20000.0,0.0
2014-01-09,20000.0,0.0
2014-01-10,20000.0,0.0
2014-01-12,20000.0,0.0
2014-01-13,20000.0,0.0
2014-01-14,20000.0,0.0
2014-01-15,20000.0,0.0
2014-01-16,20000.0,0.0
2014-01-17,20000.0,0.0
2014-01-19,20000.0,0.0
2014-01-20,20000.0,0.0
2014-01-21,20000.0,0.0
2014-01-22,20000.0,0.0
2014-01-23,20000.0,0.0
2014-01-24,20000.0,0.0
2014-01-26,20000.0,0.0
2014-01-27,20000.0,0.0
2014-01-28,20000.0,0.0
2014-01-29,20000.0,0.0
2014-01-30,20000.0,0.0
2014-01-31,20000.0,0.0
2014-02-02,20000.0,0.0
2014-02-03,20000.0,0.0
2014-02-04,20000.0,0.0
2014-02-05,20000.0,0.0
2014-02-06,20000.0,0.0
2014-02-07,20000.0,0.0
2014-02-09,20000.0,0.0
2014-02-10,20000.0,0.0
2014-02-11,20000.0,0.0
2014-02-12,20000.0,0.0
2014-02-13,20000.0,0.0
2014-02-14,20000.0,0.0
2014-02-16,20000.0,0.0
2014-02-17,20000.0,0.0
2014-02-18,20000.0,0.0
2014-02-19,20000.0,0.0
2014-02-20,20000.0,0.0
2014-02-21,20000.0,0.0
2014-02-23,20000.0,0.0
2014-02-24,20000.0,0.0
2014-02-25,20000.0,0.0
2014-02-26,20000.0,0.0
2014-02-27,20000.0,0.0
2014-02-28,20000.0,0.0
2014-03-02,20000.0,0.0
2014-03-03,20000.0,0.0
2014-03-04,20000.0,0.0
2014-03-05,20000.0,0.0
2014-03-06,20000.0,0.0
2014-03-07,20000.0,0.0
2014-03-09,20000.0,0.0
2014-03-10,20000.0,0.0
2014-03-11,20000.0,0.0
2014-03-12,20000.0,0.0
2014-03-13,20000.0,0.0
2014-03-14,20000.0,0.0
2014-03-16,20000.0,0.0
2014-03-17,20000.0,0.0
2014-03-18,20000.0,0.0
2014-03-19,20000.0,0.0
2014-03-20,20000.0,0.0
2014-03-21,20000.0,0.0
2014-03-23,20000.0,0.0
2014-03-24,20000.0,0.0
2014-03-25,20000.0,0.0
