risk_per_unit_pct,symbol,direction,entry_time,exit_time,entry_price,exit_price,lots,stop_price,pyramid_index,exit_reason,gross_pl,commission,net_pl
0.0025,XAGUSD.var,short,2020-03-10 00:00:00,2020-04-06 00:00:00,16.866,15.038,0.04,18.008932048016884,0,channel_exit,7.311999999999998,0.4,6.911999999999997
0.0025,XAGUSD.var,short,2020-03-12 00:00:00,2020-04-06 00:00:00,16.419544247499285,15.038,0.04,17.635092920834524,1,channel_exit,5.52617698999714,0.4,5.126176989997139
0.0025,XAGUSD.var,long,2020-04-14 00:00:00,2020-09-21 00:00:00,15.763,24.684,0.03,14.358374212448457,0,channel_exit,26.763000000000005,0.30000000000000004,26.463000000000005
0.0025,XAGUSD.var,long,2020-05-15 00:00:00,2020-09-21 00:00:00,16.16208198550719,24.684,0.04,15.072863357488018,1,channel_exit,34.08767205797125,0.4,33.68767205797125
0.0025,XAGUSD.var,short,2020-09-24 00:00:00,2020-09-29 00:00:00,21.798292965269905,24.340845057883488,0.02,24.31584505788349,1,stop,-5.085104185227166,0.2,-5.2851041852271665
0.0025,XAGUSD.var,short,2020-09-23 00:00:00,2020-10-09 00:00:00,22.733,25.154,0.02,25.20426536064588,0,channel_exit,-4.841999999999999,0.2,-5.041999999999999
0.0025,XAGUSD.var,long,2020-11-05 00:00:00,2020-11-23 00:00:00,25.381999999999998,23.40950524116443,0.02,23.43450524116443,0,stop,-3.9449895176711323,0.2,-4.144989517671132
0.0025,XAGUSD.var,short,2020-11-30 00:00:00,2020-12-01 00:00:00,22.034058152230735,23.747903079615444,0.03,23.722903079615445,1,stop,-5.141534782154128,0.30000000000000004,-5.441534782154128
0.0025,XAGUSD.var,short,2020-11-27 00:00:00,2020-12-04 00:00:00,22.658,24.36941571303654,0.03,24.34441571303654,0,stop,-5.134247139109611,0.30000000000000004,-5.434247139109611
0.0025,XAGUSD.var,long,2020-12-16 00:00:00,2021-01-08 00:00:00,25.383,25.381,0.03,23.748992373261014,0,channel_exit,-0.005999999999996675,0.30000000000000004,-0.3059999999999967
0.0025,XAGUSD.var,long,2020-12-17 00:00:00,2021-01-08 00:00:00,25.99168396702576,25.381,0.03,24.343526721623725,1,channel_exit,-1.832051901077282,0.30000000000000004,-2.132051901077282
0.0025,XAGUSD.var,long,2021-02-01 00:00:00,2021-02-02 00:00:00,28.983999999999998,26.821185759079142,0.02,26.84618575907914,0,stop,-4.3256284818417114,0.2,-4.525628481841712
0.0025,XAGUSD.var,short,2021-03-04 00:00:00,2021-04-08 00:00:00,25.295,25.468999999999998,0.02,27.2956465388316,0,channel_exit,-0.34799999999999187,0.2,-0.5479999999999918
0.0025,XAGUSD.var,short,2021-03-25 00:00:00,2021-04-08 00:00:00,24.672806533075267,25.468999999999998,0.03,26.35698911154123,1,channel_exit,-2.3885804007741918,0.30000000000000004,-2.6885804007741916
0.0025,XAGUSD.var,long,2021-04-15 00:00:00,2021-06-16 00:00:00,25.849999999999998,26.867,0.03,24.408516898431557,0,channel_exit,3.051000000000009,0.30000000000000004,2.751000000000009
0.0025,XAGUSD.var,long,2021-04-21 00:00:00,2021-06-16 00:00:00,26.368066785030077,26.867,0.03,24.961555358283196,1,channel_exit,1.4967996449097711,0.30000000000000004,1.196799644909771
0.0025,XAGUSD.var,short,2021-06-17 00:00:00,2021-07-02 00:00:00,25.842000000000002,26.468,0.03,27.240844272127692,0,channel_exit,-1.8779999999999928,0.30000000000000004,-2.177999999999993
0.0025,XAGUSD.var,short,2021-07-27 00:00:00,2021-08-04 00:00:00,24.721223644352907,25.87462725941182,0.04,25.84962725941182,1,stop,-4.613614460235652,0.4,-5.013614460235653
0.0025,XAGUSD.var,short,2021-07-19 00:00:00,2021-08-27 00:00:00,25.135,24.029999999999998,0.04,26.293729988599225,0,channel_exit,4.420000000000016,0.4,4.020000000000016
0.0025,XAGUSD.var,short,2021-08-06 00:00:00,2021-08-27 00:00:00,24.305506048917103,24.029999999999998,0.04,25.439086303412584,1,channel_exit,1.1020241956684202,0.4,0.7020241956684202
0.0025,XAGUSD.var,long,2021-09-03 00:00:00,2021-09-10 00:00:00,24.703,23.705000000000002,0.04,23.555961649716924,0,channel_exit,-3.9919999999999902,0.4,-4.391999999999991
0.0025,XAGUSD.var,short,2021-09-16 00:00:00,2021-10-14 00:00:00,22.862000000000002,23.528,0.04,24.02182541063741,0,channel_exit,-2.6639999999999873,0.4,-3.063999999999987
0.0025,XAGUSD.var,short,2021-09-17 00:00:00,2021-10-14 00:00:00,22.427605947460425,23.528,0.04,23.610990087565963,1,channel_exit,-4.4015762101582965,0.4,-4.801576210158297
0.0025,XAGUSD.var,long,2021-10-19 00:00:00,2021-11-02 00:00:00,23.668999999999997,23.493000000000002,0.04,22.46849721778161,0,channel_exit,-0.7039999999999793,0.4,-1.1039999999999792
0.0025,XAGUSD.var,long,2021-10-20 00:00:00,2021-11-02 00:00:00,24.119722866165297,23.493000000000002,0.04,22.89279522305783,1,channel_exit,-2.50689146466118,0.4,-2.90689146466118
0.0025,XAGUSD.var,long,2021-11-11 00:00:00,2021-11-23 00:00:00,25.256,24.057775874971245,0.04,24.082775874971244,0,stop,-4.79289650011502,0.4,-5.192896500115021
0.0025,XAGUSD.var,short,2021-11-26 00:00:00,2021-12-22 00:00:00,23.103,22.808,0.04,24.26340431716344,0,channel_exit,1.1800000000000068,0.4,0.7800000000000068
0.0025,XAGUSD.var,short,2021-11-30 00:00:00,2021-12-22 00:00:00,22.67093910141,22.808,0.04,23.848101497650003,1,channel_exit,-0.5482435943600024,0.4,-0.9482435943600024
0.0025,XAGUSD.var,long,2021-12-28 00:00:00,2022-01-06 00:00:00,23.291698934658104,22.2371684422365,0.05,22.262168442236497,1,stop,-5.272652462108027,0.5,-5.772652462108027
0.0025,XAGUSD.var,long,2021-12-23 00:00:00,2022-01-06 00:00:00,22.915,22.146,0.05,21.878603332496834,0,channel_exit,-3.844999999999992,0.5,-4.344999999999992
