risk_per_unit_pct,risk_per_unit_percent,forward_windows,profitable_windows,windows_with_trades,median_forward_expectancy,min_forward_expectancy,median_forward_profit_factor,max_forward_drawdown_pct,total_forward_trades
0.0025,0.25,4,2,3,0.3368131480202775,-1.4072434992568161,0.7858222951343309,0.04934687301829623,42
0.00375,0.375,4,2,3,0.7471229927604696,-1.6934789379590023,0.9162356843117963,0.04002934174050708,23
0.005,0.5,4,2,3,0.7810007612932299,-2.3431234324301853,0.8502100756930107,0.05199026596397427,23
0.00625,0.625,4,0,0,0.0,0.0,0.0,0.0,0
0.0075,0.75,4,0,0,0.0,0.0,0.0,0.0,0
