symbol,first_tested_risk_below_50pct_rejection,first_tested_risk_percent,dollar_risk_per_unit_at_1000,full_period_rejection_pct_at_threshold,note
XAGUSD.var,0.005,0.5,5.0,0.0,Threshold is among the requested risk values only; no interpolation or optimization was performed.
XAUUSD.var,0.02,2.0,20.0,0.3081232492997199,Threshold is among the requested risk values only; no interpolation or optimization was performed.
