symbol,risk_per_unit_pct,year,date,direction,equity_at_signal,close,atr,raw_lots,stepped_lots,classification
XAUUSD.var,0.005,2014,2014-01-13,long,1000.0,1252.92,,,,warmup
XAUUSD.var,0.005,2014,2014-01-19,long,1000.0,1256.15,13.436412749999977,0.0037212313234423443,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-01-23,long,1000.0,1263.76,14.293799599954678,0.003498020218511986,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-01-24,long,1000.0,1269.2,14.35810961995694,0.003482352574499285,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-01-26,long,1000.0,1275.39,14.127204138959092,0.0035392707225142465,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-11,long,1000.0,1291.17,15.19101822466707,0.0032914186041071523,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-13,long,1000.0,1302.5,15.123718947762024,0.0033060651399766253,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-14,long,1000.0,1317.87,15.434033000373919,0.0032395939543986107,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-16,long,1000.0,1323.54,14.975331350355233,0.003338824285768738,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-17,long,1000.0,1328.59,14.772064782837475,0.0033847671760884202,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-24,long,1000.0,1336.71,14.57320315527598,0.0034309547096307617,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-02-25,long,1000.0,1340.36,14.46004299751218,0.00345780437918493,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-03-03,long,1000.0,1350.35,15.047488192530292,0.003322813705533954,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-03-12,long,1000.0,1366.64,15.788472028145,0.0031668675671001293,0.0,sub_min_lot
XAUUSD.var,0.005,2014,2014-03-14,long,1000.0,1382.19,15.74989600540086,0.003174624136112029,0.0,sub_min_lot
