time,rolling_expectancy,rolling_profit_factor,rolling_win_rate
2015-04-30,0.3859803493036348,1.024757362862066,0.36666666666666664
2015-05-21,0.4418334075009066,1.0284417549893325,0.36666666666666664
2015-05-26,-2.8830237066094573,0.8252663309104711,0.3333333333333333
2015-06-10,-5.138694635225681,0.7043358268028581,0.3
2015-06-18,-6.880029766816699,0.6230245346036557,0.26666666666666666
2015-08-10,-2.7893631001500263,0.8470403183516144,0.3
2015-08-10,1.0479211330908185,1.0592940919630522,0.3333333333333333
2015-08-26,1.071554000982532,1.0607124861159951,0.3333333333333333
2015-09-09,1.1461765180516725,1.0652162085307109,0.3333333333333333
2015-09-09,0.4251765180516615,1.0234273917756411,0.3
2015-09-29,-0.19405877950957268,0.9896600846605292,0.3
2015-10-28,1.173071149913745,1.0674147927869204,0.3
2015-10-28,0.882558661596106,1.049886563968809,0.3
2015-12-04,3.7368812532614517,1.2222395575402998,0.3333333333333333
2015-12-04,6.1367198264733815,1.3849781607206448,0.36666666666666664
2015-12-04,3.7529138585913375,1.2354335728984707,0.36666666666666664
2016-01-13,-0.6408815115272276,0.9636768462311233,0.3333333333333333
2016-03-14,9.672459586206479,1.5775335004564859,0.36666666666666664
2016-03-14,18.34467153640889,2.159445202923843,0.4
2016-04-11,16.75700486974223,1.97962065623384,0.36666666666666664
2016-05-19,15.596636118603033,1.8538627925878173,0.36666666666666664
2016-06-06,15.001208553792218,1.795338988478163,0.36666666666666664
2016-06-06,15.753571586517955,1.869928627002376,0.36666666666666664
2016-06-23,16.67770323138058,1.97048547985355,0.36666666666666664
2016-06-23,14.38424439918293,1.790471961865534,0.3333333333333333
2016-07-20,12.200790508018258,1.6204577968231835,0.3
2016-08-24,9.180123841351595,1.4371520566730829,0.26666666666666666
2016-09-06,6.977596453999521,1.3156028457553472,0.23333333333333334
2016-09-06,7.076744307853452,1.321529303297118,0.23333333333333334
2016-10-19,7.568410974520119,1.3517250791107098,0.23333333333333334
2016-10-19,7.945092275675802,1.3758092057513884,0.23333333333333334
2016-11-08,7.928075293715749,1.3747026844268526,0.23333333333333334
2016-11-10,7.97854163755253,1.3779894351611797,0.23333333333333334
2016-11-10,7.669269949347011,1.3580907174318615,0.23333333333333334
2016-12-29,10.777033307350894,1.5245144657312821,0.26666666666666666
2016-12-29,8.302675392393898,1.4040883259228063,0.26666666666666666
2017-01-26,5.27704730860427,1.2568320585799175,0.26666666666666666
2017-01-26,5.958954444059402,1.2999758969325383,0.26666666666666666
2017-01-26,6.116714092605942,1.3103825318835554,0.26666666666666666
2017-03-02,5.761673247902754,1.2871925229044459,0.26666666666666666
2017-03-07,5.735187940876843,1.2854954517186465,0.26666666666666666
2017-03-07,5.329854607543513,1.2600705822221645,0.26666666666666666
2017-03-20,5.156891147926875,1.2495248887826973,0.26666666666666666
2017-04-25,3.463891147926877,1.167606224108355,0.26666666666666666
2017-04-25,1.6832444368115715,1.080453836511251,0.23333333333333334
2017-04-25,0.05925767829422727,1.002759123643105,0.2
2017-05-17,0.8945339073299301,1.043336217185654,0.2
2017-05-17,-10.022799426003418,0.5473341262010334,0.16666666666666666
2017-06-15,-19.40683196966184,0.1838830444686757,0.13333333333333333
2017-06-15,-19.05049863632851,0.18668043440704635,0.13333333333333333
