symbol,entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,trade_count,win_rate,profit_factor,max_drawdown_pct,expectancy,gross_profit,gross_loss,gate_passed
XAGUSD.var,40,20,20,2.5,0.75,36,0.4444444444444444,1.4406554526233322,0.4288069983855365,81.7962471936163,9627.130488445728,6682.465589475541,False
XAGUSD.var,40,20,20,1.5,0.25,48,0.3333333333333333,1.54042820917527,0.42894479110021244,78.87519288706184,10791.582236267677,7005.5729776887065,False
XAGUSD.var,40,20,20,2.0,0.75,38,0.39473684210526316,1.4643336541494825,0.4361469334206525,78.50549670865698,9407.918452341122,6424.709577412158,False
XAGUSD.var,40,20,20,2.0,0.5,41,0.3902439024390244,1.4616291258645733,0.4295888634116414,78.31182880528294,10166.119471671205,6955.3344906546035,False
XAGUSD.var,40,20,20,2.0,0.25,44,0.36363636363636365,1.442475594105271,0.45802601611803584,76.05872700410274,10909.902807939714,7563.31881975919,False
XAGUSD.var,40,20,20,1.5,0.75,41,0.3170731707317073,1.4530201957110933,0.4067905539852841,70.2110462589045,9233.011761558275,6354.35886494319,False
XAGUSD.var,40,20,20,1.5,0.5,46,0.32608695652173914,1.4290005284159766,0.42320927465380964,63.092712505736145,9667.442398657626,6765.177623393762,False
XAGUSD.var,55,28,20,2.5,0.75,27,0.5185185185185185,1.4539169548275914,0.46543429865672337,61.92893129119542,5355.753074449863,3683.6719295875873,False
XAGUSD.var,40,20,20,3.0,0.75,36,0.4444444444444444,1.2916555022945644,0.4551597296063722,58.226284140679844,9283.208405410533,7187.062176346058,False
XAGUSD.var,40,20,20,2.5,0.5,40,0.4,1.2886844757711209,0.47892331165369406,55.74987414624765,9954.674167574361,7724.679201724456,False
XAGUSD.var,55,28,20,3.0,0.75,26,0.5384615384615384,1.3592036801889862,0.4749840669623869,54.082278347154485,5320.740658387323,3914.6014213613057,False
XAGUSD.var,70,35,20,2.5,0.25,24,0.5,1.3753283186369258,0.5005347666452277,52.14212803163529,4585.588140197105,3334.1770674378577,False
XAGUSD.var,20,10,20,2.0,0.25,68,0.3235294117647059,1.3323973734273318,0.4702814379196195,49.59866294416522,13519.326802922911,10146.617722719677,False
XAGUSD.var,70,35,20,2.0,0.25,25,0.48,1.3631934642904788,0.5019850538410946,48.846376800152385,4583.442996305001,3362.283576301191,False
XAGUSD.var,40,20,20,2.5,0.25,43,0.37209302325581395,1.2444389332635035,0.5016083171650064,48.40169719002987,10595.763495817795,8514.490516646507,False
XAGUSD.var,40,20,20,3.0,0.25,42,0.38095238095238093,1.2114292099429194,0.4966377127022163,43.51190815325549,10471.055793664433,8643.555651227703,False
XAGUSD.var,20,10,20,2.5,0.25,67,0.3283582089552239,1.2731905952876819,0.4893515038906219,43.1619535793025,13477.32103298573,10585.470143172462,False
XAGUSD.var,40,20,20,3.0,0.5,40,0.4,1.1812936952596145,0.5018663512333686,37.42701558288669,9754.845026934863,8257.764403619396,False
XAGUSD.var,55,28,20,2.0,0.75,30,0.43333333333333335,1.2832946524280318,0.48429389240951853,37.039471193928186,5033.5459816706625,3922.3618458528163,False
XAGUSD.var,20,10,20,3.0,0.25,67,0.3283582089552239,1.2264680127786762,0.5056003162454806,37.0283319232033,13435.638417897768,10954.740179043147,False
XAGUSD.var,25,12,20,2.0,0.75,54,0.37037037037037035,1.2206698930835793,0.4987995889098885,36.77407221777733,10984.761525249356,8998.96162548938,False
XAGUSD.var,25,12,20,2.0,0.25,63,0.31746031746031744,1.2131477992426363,0.525143924524491,36.489616540216105,13084.065535607504,10785.21969357389,False
XAGUSD.var,70,35,20,3.0,0.75,21,0.47619047619047616,1.236211241904729,0.48980672516924606,36.0966694121046,3967.149367733148,3209.1193100789515,False
XAGUSD.var,25,12,20,1.5,0.25,69,0.2898550724637681,1.2232069903207146,0.511345791225505,34.16493782787633,12918.791473900481,10561.410763777014,False
