config_id,candidate_name,entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,risk_per_unit_pct,exposure_profile,max_total_lots,max_account_leverage,max_open_risk_pct,symbol_drawdown_pause_pct,portfolio_drawdown_pause_pct,drawdown_policy,expectancy,profit_factor,max_drawdown_pct,net_profit,trade_count,max_exposure_pct,all_symbols_positive_expectancy,drawdown_gate_passed
690,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_5_lots_3x,5.0,3.0,0.01,0.25,0.25,symbol_and_portfolio_pause_25,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
711,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,,,none,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
712,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.15,,symbol_pause_15,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
713,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.2,,symbol_pause_20,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
714,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.25,,symbol_pause_25,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
715,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,,0.15,portfolio_pause_15,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
716,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,,0.2,portfolio_pause_20,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
717,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,,0.25,portfolio_pause_25,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
718,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.15,0.15,symbol_and_portfolio_pause_15,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
719,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.2,0.2,symbol_and_portfolio_pause_20,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
720,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.0025,capped_2_lots_2x,2.0,2.0,0.01,0.25,0.25,symbol_and_portfolio_pause_25,6.228806307996656,1.2870249537219414,0.08126232884133097,1270.6764868313185,204,0.7114880333825541,True,True
602,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.04,0.15,,symbol_pause_15,10.16482237765746,1.2040773519719203,0.08855799441622897,1067.3063496540344,105,1.9475155685956023,True,True
608,entry_15_exit_8_stop_2.0_pyr_0.75,15,8,20,2.0,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.04,0.15,0.15,symbol_and_portfolio_pause_15,10.16482237765746,1.2040773519719203,0.08855799441622897,1067.3063496540344,105,1.9475155685956023,True,True
