config_id,symbol,expectancy,profit_factor,max_drawdown_pct,net_profit,trade_count,max_exposure_pct,positive_expectancy,drawdown_gate_passed
1,XAUUSD.var,76.83007634516518,1.7113894435283568,0.30609685095486916,15058.69496365236,196,3.0599625077683434,True,False
1,XAGUSD.var,41.99124767413,1.3179048666032938,0.39468932838405235,2099.562383706496,50,0.9882075465285057,True,False
2,XAUUSD.var,-41.18563838681947,0.4659906957343762,0.15927149598811535,-617.7845758022922,15,2.3617678291160016,False,True
2,XAGUSD.var,938.17273468869,32.25899358010137,0.15130093218477447,5629.036408132139,6,0.9882075465285057,True,True
3,XAUUSD.var,-25.263036052783878,0.6754262558880775,0.20368739627524293,-1111.5735863224909,44,2.7412936607089113,False,True
3,XAGUSD.var,462.6845435104425,4.913532473955017,0.20572262027674737,4626.845435104424,10,0.9882075465285057,True,True
4,XAUUSD.var,1.0410337484030507,1.0118593101937827,0.2559476017102312,82.24166612384033,79,2.7412936607089113,True,False
4,XAGUSD.var,243.47570177565785,2.693172184404692,0.2586520120259372,3652.1355266348673,15,0.9882075465285057,True,False
5,XAUUSD.var,89.22181716638005,1.9787462039610235,0.25721065676357974,12847.94167195872,144,3.0599625077683434,True,False
5,XAGUSD.var,435.6221384256945,6.474688420599021,0.19625146420212194,3484.977107405557,8,1.1364191760110214,True,True
6,XAUUSD.var,76.83992016056867,1.7794746584564831,0.25721065676357974,11833.347704727566,154,3.0599625077683434,True,False
6,XAGUSD.var,277.0978232718101,3.0103024439001977,0.24631258954103202,3879.3695258053413,14,0.9882075465285057,True,True
7,XAUUSD.var,64.69326725134403,1.5925815236371512,0.25721065676357974,11127.241967231166,172,3.0599625077683434,True,False
7,XAGUSD.var,81.16999734148612,1.5784320454060226,0.329148097449756,2353.929922903095,29,0.9882075465285057,True,False
8,XAUUSD.var,-41.18563838681947,0.4659906957343762,0.15927149598811535,-617.7845758022922,15,2.3617678291160016,False,True
8,XAGUSD.var,938.17273468869,32.25899358010137,0.15130093218477447,5629.036408132139,6,0.9882075465285057,True,True
9,XAUUSD.var,-25.263036052783878,0.6754262558880775,0.20368739627524293,-1111.5735863224909,44,2.7412936607089113,False,True
9,XAGUSD.var,462.6845435104425,4.913532473955017,0.20572262027674737,4626.845435104424,10,0.9882075465285057,True,True
10,XAUUSD.var,1.0410337484030507,1.0118593101937827,0.2559476017102312,82.24166612384033,79,2.7412936607089113,True,False
10,XAGUSD.var,243.47570177565785,2.693172184404692,0.2586520120259372,3652.1355266348673,15,0.9882075465285057,True,False
11,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
11,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
12,XAUUSD.var,10.257549336633517,1.1129639648809555,0.15245061751485456,882.1492429504797,86,1.1663709016049948,True,True
12,XAGUSD.var,42.51203326203195,1.4028091211386486,0.16141367364041523,680.1925321925119,16,0.4528892246236414,True,True
13,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
13,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
14,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
14,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
15,XAUUSD.var,8.192185429456003,1.0893295328332302,0.16564649774473927,712.7201323626705,87,1.1663709016049948,True,True
15,XAGUSD.var,21.467767152593495,1.1949257193780716,0.18448009198414095,386.419808746683,18,0.4528892246236414,True,True
16,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
16,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
17,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
17,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
18,XAUUSD.var,11.552814622946848,1.1273775432361224,0.14467464160622293,981.9892429504798,85,1.1663709016049948,True,True
18,XAGUSD.var,42.51203326203195,1.4028091211386486,0.16141367364041523,680.1925321925119,16,0.4528892246236414,True,True
19,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
19,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
20,XAUUSD.var,21.36324035815421,1.2472065994018684,0.1780515733831186,2008.1445936664932,94,1.1663709016049948,True,True
20,XAGUSD.var,26.506405619076908,1.245444064443942,0.19576305681867828,689.1665460959994,26,0.4753980344535895,True,True
21,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
21,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
22,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
22,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
23,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
23,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
24,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
24,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
25,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
25,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
26,XAUUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
26,XAGUSD.var,0.0,0.0,0.0,0.0,0,0.0,False,True
