dimension,value,entry_window,stop_atr_multiplier,pyramid_atr_interval,risk_per_unit_pct,expectancy,profit_factor,win_rate,max_drawdown_pct,net_profit,trade_count,all_symbols_positive_expectancy,expectancy_retention_vs_base
base,none,15,2.0,0.75,0.0025,6.228806307996658,1.2870249537219414,0.3137254901960784,0.08126232884133097,1270.6764868313185,204,True,1.0
breakout,14,14,2.0,0.75,0.0025,3.7961328704561703,1.1752773055475676,0.32272727272727275,0.09333940634393888,835.1492315003634,220,False,0.6094478914174332
breakout,16,16,2.0,0.75,0.0025,6.121992027961202,1.283326649237031,0.33,0.07764799450621397,1224.3984055922447,200,True,0.9828515650104056
stop,1.75,15,1.75,0.75,0.0025,8.434081396719318,1.439783089422779,0.3438914027149321,0.07713474686658606,1863.9319886749727,221,True,1.3540445760677269
stop,2.25,15,2.25,0.75,0.0025,7.009884510453966,1.3354547246684367,0.3273809523809524,0.053366548176685034,1177.6605977562685,168,True,1.1253977349487565
pyramid,0.5,15,2.0,0.5,0.0025,4.34897899933568,1.1991168170516118,0.3087557603686636,0.082652096409835,943.7284428558487,217,True,0.6982042440061716
pyramid,1.0,15,2.0,1.0,0.0025,9.386193048877567,1.44136443645014,0.34594594594594597,0.07406272128430563,1736.4457140423547,185,True,1.5069007743630425
risk,0.00125,15,2.0,0.75,0.00125,14.326092378146747,2.221337151281326,0.4397163120567376,0.04868402305339984,2019.9790253186948,141,True,2.29997397089626
risk,0.005,15,2.0,0.75,0.005,9.08084736297909,1.1916515451105647,0.33035714285714285,0.09206192683592085,1017.054904653658,112,True,1.457879233027511
