candidate_id,worst_month,worst_month_return,best_month,best_month_return,worst_year,worst_year_return,best_year,best_year_return,worst_rolling_expectancy_time,worst_rolling_expectancy,best_rolling_expectancy_time,best_rolling_expectancy,worst_rolling_profit_factor_time,worst_rolling_profit_factor,best_rolling_profit_factor_time,best_rolling_profit_factor,degraded_rolling_windows
base,2022-01,-0.013990686193143254,2019-09,0.03543794639983215,2021,-0.02947838404360226,2020,0.047944375003092114,2022-01-27 00:00:00,-30.921592679746784,2020-09-21 00:00:00,66.37756149184807,2022-01-27 00:00:00,0.07595743146643705,2020-09-21 00:00:00,4.404481327769835,75
lower_risk,2022-01,-0.006468176137872196,2019-09,0.03609959925722933,2021,-0.020314006081289256,2019,0.04252386232774018,2021-11-02 00:00:00,-15.06613348034099,2020-09-21 00:00:00,53.1721259030603,2021-11-02 00:00:00,0.10181874775935044,2020-09-21 00:00:00,8.098627721610526,35
wider_pyramid,2022-01,-0.013990686193143254,2020-09,0.035356693112077474,2021,-0.02867094734982595,2020,0.052315006123207525,2022-01-27 00:00:00,-30.254800750809125,2020-09-21 00:00:00,64.89139482407151,2022-01-27 00:00:00,0.07782836721894164,2020-09-21 00:00:00,4.33222156848687,58
lower_stop,2022-01,-0.013734563770809978,2019-09,0.0444347724233427,2021,-0.02550935134674373,2020,0.04701271415960016,2022-01-27 00:00:00,-29.043501516204554,2020-09-21 00:00:00,73.75189712324466,2022-01-27 00:00:00,0.08047393143535651,2020-09-21 00:00:00,5.3580825142769966,90
