candidate_id,median_return,mean_return,worst_5pct_drawdown,worst_drawdown_observed,best_drawdown_observed,return_95pct_ci,prob_drawdown_gt_10pct,prob_drawdown_gt_15pct,prob_drawdown_gt_20pct,prob_drawdown_gt_25pct,note
base,0.06353382434156592,0.06353382434156599,0.05103934177634694,0.08227213951132964,0.014679781377793605,"[0.06353382434156574, 0.06353382434156629]",0.0,0.0,0.0,0.0,Trade-order randomization keeps total return fixed; drawdown distribution changes with order.
lower_risk,0.10099895126593474,0.10099895126593475,0.015304320236379771,0.025963200775940113,0.004705237541857053,"[0.10099895126593456, 0.10099895126593474]",0.0,0.0,0.0,0.0,Trade-order randomization keeps total return fixed; drawdown distribution changes with order.
wider_pyramid,0.08682228570211774,0.08682228570211764,0.04220935188558243,0.0835735313290615,0.011837312013144986,"[0.08682228570211736, 0.08682228570211792]",0.0,0.0,0.0,0.0,Trade-order randomization keeps total return fixed; drawdown distribution changes with order.
lower_stop,0.09319659943374864,0.09319659943374867,0.04077065208142876,0.06815765100476141,0.012015965464279162,"[0.09319659943374844, 0.093196599433749]",0.0,0.0,0.0,0.0,Trade-order randomization keeps total return fixed; drawdown distribution changes with order.
