candidate_id,expectancy_ci,profit_factor_ci,win_rate_ci,expectancy_median,profit_factor_median,win_rate_median,prob_expectancy_positive,prob_profit_factor_gt_1
base,"[-3.824543469245589, 16.956663726215528]","[0.8385387066774003, 1.8553655665372395]","[0.25, 0.37745098039215685]",6.117641025419086,1.281672244844851,0.3137254901960784,0.8802,0.8802
lower_risk,"[5.8294977800794525, 23.464032764509156]","[1.4387466034400183, 3.2904747177311404]","[0.3546099290780142, 0.524822695035461]",14.14738679606409,2.2081695810976343,0.4397163120567376,0.9998,0.9998
wider_pyramid,"[-1.3133714356391004, 21.068835258260115]","[0.9447808745224591, 2.099309889711387]","[0.2756756756756757, 0.41621621621621624]",9.171276881503335,1.431273412666282,0.34594594594594597,0.9517,0.9517
lower_stop,"[-0.684785244671639, 18.30400410093839]","[0.9676757986330843, 2.044468253951177]","[0.28054298642533937, 0.4072398190045249]",8.304121678226412,1.4331163261548725,0.3438914027149321,0.9642,0.9642
