time,equity,exposure_pct
2013-12-24,20000.0,0.0
2013-12-25,20000.0,0.0
2013-12-26,20000.0,0.0
2013-12-27,20000.0,0.0
2013-12-29,20000.0,0.0
2013-12-30,20000.0,0.0
2013-12-31,20000.0,0.0
2014-01-01,20000.0,0.0
2014-01-02,20000.0,0.0
2014-01-03,20000.0,0.0
2014-01-05,20000.0,0.0
2014-01-06,20000.0,0.0
2014-01-07,20000.0,0.0
2014-01-08,20000.0,0.0
2014-01-09,20000.0,0.0
2014-01-10,20000.0,0.0
2014-01-12,20000.0,0.0
2014-01-13,20000.0,0.0
2014-01-14,20000.0,0.0
2014-01-15,20000.0,0.0
2014-01-16,20000.0,0.0
2014-01-17,20000.0,0.0
2014-01-19,19999.45,0.12562190920500627
2014-01-20,19997.86,0.12548285333061274
2014-01-21,19984.46,0.12430917646021918
2014-01-22,19980.260000000002,0.1239406588605908
2014-01-23,19975.8862776875,0.0
2014-01-24,19975.3362776875,0.12723380592581168
2014-01-26,19981.526277687502,0.12777504807566162
2014-01-27,19962.9462776875,0.12614842687796948
2014-01-28,19962.7062776875,0.12612737593340648
2014-01-29,19973.1762776875,0.1270447813937358
2014-01-30,19950.159585852576,0.0
2014-01-31,19950.159585852576,0.0
2014-02-02,19950.159585852576,0.0
2014-02-03,19950.159585852576,0.0
2014-02-04,19950.159585852576,0.0
2014-02-05,19950.159585852576,0.0
2014-02-06,19950.159585852576,0.0
2014-02-07,19950.159585852576,0.0
2014-02-09,19950.159585852576,0.0
2014-02-10,19950.159585852576,0.0
2014-02-11,19949.609585852573,0.12977092104557794
2014-02-12,19949.289585852574,0.12974293178032814
2014-02-13,19960.376796641754,0.26153629056265254
2014-02-14,19994.348482680653,0.39558456530220726
2014-02-16,20011.35848268065,0.39661150950383534
2014-02-17,20026.50848268065,0.3975232262441949
2014-02-18,20005.86848268065,0.39628044350805924
2014-02-19,19974.63848268065,0.3943902334736825
2014-02-20,20009.13848268065,0.3964776795592084
2014-02-21,20011.56848268065,0.39662416602046646
2014-02-23,20013.99848268065,0.39677058138882365
2014-02-24,20050.86848268065,0.39898343182085544
2014-02-25,20061.81848268065,0.3996375016028625
2014-02-26,20031.99848268065,0.397852930987834
2014-02-27,20034.098482680653,0.3979789521592534
2014-02-28,20017.44848268065,0.39697833304313035
2014-03-02,20054.76848268065,0.3992165515212181
2014-03-03,20091.78848268065,0.4014204228469849
2014-03-04,20043.488482680652,0.39854180217386465
2014-03-05,20050.50848268065,0.3989619039583679
