exit_time,net_pl,return
2014-01,-49.84041414742474,-0.002492020707371237
2014-03,73.078896828076,0.0036539448414038
2014-04,-66.83098055211204,-0.003341549027605602
2014-05,-26.42491508377734,-0.001321245754188867
2014-06,-16.442940097313837,-0.0008221470048656919
2014-07,-80.57370292317538,-0.004028685146158769
2014-08,-23.02321467855868,-0.001151160733927934
2014-10,142.03177112145238,0.007101588556072619
2014-11,-28.90175338421445,-0.0014450876692107225
2014-12,-72.11423528669452,-0.0036057117643347263
2015-01,77.18259895303227,0.0038591299476516136
2015-03,82.41978160877338,0.004120989080438669
2015-04,-68.08365630098665,-0.0034041828150493322
2015-05,-50.86512352852465,-0.0025432561764262324
2015-06,-46.1156368878239,-0.002305781844391195
2015-08,177.09803756437796,0.008854901878218899
2015-09,-64.88978006301915,-0.003244489003150957
2015-10,-52.80121634198877,-0.0026400608170994385
2015-12,177.0594254116423,0.008852971270582115
2016-01,-88.58813880778953,-0.004429406940389477
2016-03,423.0128191741711,0.021150640958708555
2016-04,-38.208528898120996,-0.0019104264449060497
2016-05,-34.90555716719778,-0.001745277858359889
2016-06,-152.27472686910767,-0.007613736343455383
2016-07,-38.58746872944412,-0.0019293734364722059
2016-08,-35.411214457536154,-0.0017705607228768077
2016-09,-59.16760049440104,-0.002958380024720052
2016-10,-44.16150427042549,-0.0022080752135212743
2016-11,-80.09523310899618,-0.004004761655449809
2016-12,159.0947584981629,0.007954737924908145
2017-01,-12.369108097040726,-0.0006184554048520363
2017-03,-117.49618854948744,-0.005874809427474372
2017-04,-3.2091438292778998,-0.00016045719146389498
2017-05,-68.12261494756268,-0.003406130747378134
2017-06,-80.59948725249015,-0.004029974362624507
2017-07,-10.887510147901274,-0.0005443755073950637
2017-09,190.37194595933224,0.009518597297966612
2017-10,-61.3175457421858,-0.00306587728710929
2017-11,-44.10928018620298,-0.002205464009310149
2017-12,-48.37907562339038,-0.002418953781169519
2018-02,117.94564755849164,0.0058972823779245825
2018-03,-25.415465302786153,-0.0012707732651393076
2018-08,379.72328869363116,0.018986164434681558
2018-10,-97.43777140413567,-0.004871888570206783
2018-11,-43.5631692212889,-0.0021781584610644452
2018-12,-43.73333602240946,-0.002186666801120473
2019-02,279.395459924334,0.0139697729962167
2019-03,-127.16576015293104,-0.006358288007646552
2019-04,-39.38310227256689,-0.0019691551136283444
2019-05,-42.159365133867325,-0.002107968256693366
2019-09,888.6954484668539,0.0444347724233427
2019-10,-40.34731935559021,-0.0020173659677795103
2019-12,-33.11625281345728,-0.001655812640672864
2020-03,101.99075439543603,0.0050995377197718015
2020-04,129.85685839496995,0.006492842919748497
2020-08,296.57503351719953,0.014828751675859977
2020-09,664.4355019793876,0.033221775098969376
2020-10,-50.39060819243312,-0.002519530409621656
2020-11,-99.5059589707619,-0.0049752979485380945
2020-12,-102.7072979317949,-0.005135364896589745
2021-01,-102.24656289572351,-0.005112328144786175
2021-02,-47.96909905933801,-0.0023984549529669007
2021-03,42.452132106315545,0.002122606605315777
2021-04,-34.90599747466654,-0.001745299873733327
2021-06,256.6842704584749,0.012834213522923745
2021-07,-74.39616125261135,-0.0037198080626305676
2021-08,-29.034384342889908,-0.0014517192171444955
2021-09,-127.73111119806529,-0.006386555559903265
2021-10,-127.03370162510822,-0.006351685081255411
2021-11,-201.2826420386437,-0.010064132101932185
2021-12,-64.7237696126185,-0.003236188480630925
2022-01,-274.6912754161996,-0.013734563770809978
2022-03,166.99497756438504,0.008349748878219251
2022-04,-49.15002046963939,-0.0024575010234819694
2022-07,350.92802533660335,0.01754640126683017
2022-08,-121.74400298557137,-0.006087200149278569
2022-09,-92.68788684266556,-0.004634394342133278
2022-10,-4.965905906313594,-0.00024829529531567973
2022-12,449.18997950811564,0.022459498975405782
